Provincia|Comune|Indirizzo|Est|Nord|Tipologia|Gestore|Nome|Tecnologia|Riferimento
LI|Collesalvetti|Via di Nugola|1616872|4828096|Telefonia mobile|Vodafone|Podere Cerreta - 3OF03803|2G 4G 5G|44397 del 28/05/2025
LI|Collesalvetti|Loc. La Casaccia|1618488|4820600|Telefonia mobile|Vodafone|Rimazzano TRA - 3RM08230|2G 4G 5G|22245 del 17/03/2025
LI|Collesalvetti|Strada Vicinale|1609050|4826859|Telefonia mobile|Vodafone|Stagno SSI - 3RM06608|2G 4G 5G|40498 del 15/05/2025
LI|Collesalvetti|S.P. dei Poggi|1618670|4827294|Telefonia mobile|Zefiro Net|Collesalvetti Centro - LI349|3G 4G 5G|47961 del 10/06/2025
LI|Collesalvetti|C/o depuratore Comunale|1617813|4830866|Telefonia mobile|Zefiro Net|Vicarello - LI070|2G 3G 4G 5G|67333 del 12/08/2025
